packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
56,1739284573.751183,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,5349,1987,268288,16,443,51377,0.011289119720458984,8,5798,8,0,,,Unknown
1012,1739284573.751183,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,5349,1987,268288,24,443,51377,0.0,9,6810,9,1,,,Unknown
85,1739284573.751183,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,6307,1987,268288,24,443,51377,0.0,10,6895,10,0,,,Unknown
56,1739284573.751183,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,6338,4204,266240,16,443,51377,0.0,11,6951,11,0,,,Unknown
54,1739284573.751275,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4438,6338,130048,16,51377,443,9.202957153320312e-05,11,2283,11,0,,,Unknown
85,1739284573.751427,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4438,6338,130048,24,51377,443,0.0001518726348876953,12,2368,12,1,,,Unknown
54,1739284573.751828,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,2437,7280,131072,17,51374,443,0.0004010200500488281,12,1716,12,0,,,Unknown
372,1739284573.752067,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,6745,2593,267520,24,443,51375,0.0002391338348388672,11,7672,11,0,,,Unknown
672,1739284573.752067,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,7063,2593,267520,24,443,51375,0.0,12,8344,12,0,,,Unknown
85,1739284573.752067,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,7681,2593,267520,24,443,51375,0.0,13,8429,13,0,,,Unknown
93,1739284573.752067,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,7712,2593,267520,24,443,51375,0.0,14,8522,14,0,,,Unknown
54,1739284573.752143,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,2624,7751,131072,16,51375,443,7.581710815429688e-05,12,1903,12,0,,,Unknown
54,1739284573.752926,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,2624,7751,131072,17,51375,443,0.0007832050323486328,13,1957,13,1,,,Unknown
56,1739284573.75659,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,6338,4297,266240,16,443,51377,0.001300811767578125,12,7007,12,1,,,Unknown
56,1739284573.766369,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,6338,4370,266240,16,443,51377,3.719329833984375e-05,13,7063,13,1,,,Unknown
56,1739284573.772037,TCP,216.58.204.138,10.12.16.216,TCP,Unknown,7751,2624,267520,16,443,51375,0.005667924880981445,15,8578,15,0,,,Unknown
56,1739284573.773069,TCP,142.251.143.195,10.12.16.216,TCP,Unknown,7280,2398,267776,16,443,51374,0.0010318756103515625,14,8053,14,0,,,Unknown
56,1739284573.77549,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,6338,4438,266240,16,443,51377,0.002421140670776367,14,7119,14,1,,,Unknown
56,1739284573.780262,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,5389,3276,266752,16,443,51376,0.0047719478607177734,8,5838,8,0,,,Unknown
56,1739284573.780262,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,5389,4912,265216,16,443,51376,0.0,9,5894,9,1,,,Unknown
1022,1739284573.781272,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,5389,4944,265216,24,443,51376,0.0010099411010742188,10,6916,10,1,,,Unknown
85,1739284573.781272,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,6357,4944,265216,24,443,51376,0.0,11,7001,11,0,,,Unknown
54,1739284573.781326,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,4944,6388,130048,16,51376,443,5.412101745605469e-05,10,2735,10,0,,,Unknown
85,1739284573.781505,TLS,10.12.16.216,74.125.133.84,TCP,0x0303,4944,6388,130048,24,51376,443,0.00017905235290527344,11,2820,11,1,,,Unknown
56,1739284573.788493,TCP,142.251.143.195,10.12.16.216,TCP,Unknown,7280,2437,267776,16,443,51374,0.004465818405151367,15,8109,15,1,,,Unknown
1434,1739284573.798175,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,6388,4944,265216,24,443,51376,0.008581161499023438,12,8435,12,0,,,Unknown
915,1739284573.798175,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,7768,4944,265216,24,443,51376,0.0,13,9350,13,0,,,Unknown
411,1739284573.798175,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,8629,4944,265216,24,443,51376,0.0,14,9761,14,0,,,Unknown
54,1739284573.798284,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,4975,8986,131072,16,51376,443,0.00010895729064941406,12,2874,12,0,,,Unknown
201,1739284573.798421,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,8986,4944,265216,24,443,51376,0.00013685226440429688,15,9962,15,0,,,Unknown
85,1739284573.798421,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,9133,4944,265216,24,443,51376,0.0,16,10047,16,0,,,Unknown
93,1739284573.798421,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,9164,4944,265216,24,443,51376,0.0,17,10140,17,0,,,Unknown
54,1739284573.798448,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,4975,9203,130816,16,51376,443,2.7179718017578125e-05,13,2928,13,1,,,Unknown
54,1739284573.799455,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,4975,9203,130816,17,51376,443,0.0010068416595458984,14,2982,14,1,,,Unknown
89,1739284573.800471,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4469,6338,130048,24,51377,443,0.0010161399841308594,13,2457,13,0,,,Unknown
56,1739284573.803191,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,6338,4469,266240,16,443,51377,0.002719879150390625,15,7175,15,1,,,Unknown
56,1739284573.804564,TCP,216.58.204.138,10.12.16.216,TCP,Unknown,7751,2625,267520,17,443,51375,0.0013730525970458984,16,8634,16,1,,,Unknown
54,1739284573.804597,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,2625,7752,131072,16,51375,443,3.2901763916015625e-05,14,2011,14,0,,,Unknown
56,1739284573.805964,TCP,142.251.143.195,10.12.16.216,TCP,Unknown,7280,2438,267776,17,443,51374,0.0,16,8165,16,1,,,Unknown
54,1739284573.806034,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,2438,7281,131072,16,51374,443,7.009506225585938e-05,13,1770,13,0,,,Unknown
880,1739284573.808589,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,6338,4469,266240,24,443,51377,0.002296924591064453,16,8055,16,1,,,Unknown
108,1739284573.808589,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,7164,4469,266240,24,443,51377,0.0,17,8163,17,0,,,Unknown
54,1739284573.808633,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4504,7218,131072,16,51377,443,4.410743713378906e-05,14,2511,14,0,,,Unknown
85,1739284573.811178,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,7218,4469,266240,24,443,51377,0.002544879913330078,18,8248,18,0,,,Unknown
93,1739284573.811178,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,7249,4469,266240,24,443,51377,0.0,19,8341,19,0,,,Unknown
54,1739284573.811245,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4504,7288,130816,16,51377,443,6.699562072753906e-05,15,2565,15,1,,,Unknown
93,1739284573.811767,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4504,7288,130816,24,51377,443,0.00036406517028808594,16,2658,16,1,,,Unknown
309,1739284573.823768,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,7288,4469,266240,24,443,51377,0.0004668235778808594,20,8650,20,0,,,Unknown
